qubits depth min_cut_value
3 1 0.4766666666666667
3 2 1.0133333333333334
3 3 1.4466666666666668
3 4 2.026666666666667
3 5 2.466666666666667
3 6 3.006666666666667
3 7 6.6033333333333335
3 8 33.50333333333333
3 9 57.126666666666665
3 10 80.48
3 11 100.57333333333334
3 12 113.77
3 13 123.67333333333333
3 14 160.37666666666667
3 15 177.03666666666666
3 16 200.30666666666667
3 17 193.30333333333334
3 18 170.42666666666668
3 19 143.86
3 20 160.36333333333334
3 21 190.23
3 22 176.97
3 23 150.44
3 24 250.10666666666665
3 25 163.69333333333333
3 26 203.54
3 27 183.42333333333335
3 28 200.16333333333333
3 29 196.83
3 30 203.40666666666667
3 31 200.10333333333332
3 32 200.36
3 33 186.80666666666667
3 34 196.9
3 35 200.33
3 36 200.22666666666666
3 37 163.68666666666667
3 38 210.19333333333333
3 39 183.66666666666666
3 40 213.55333333333334
3 41 200.12333333333333
3 42 143.72
3 43 180.18333333333334
3 44 206.84666666666666
3 45 166.96
3 46 183.61666666666667
3 47 196.84333333333333
3 48 230.28333333333333
3 49 166.92666666666668
3 50 166.84
3 51 143.50666666666666
3 52 173.58333333333334
3 53 216.84666666666666
3 54 196.88
3 55 153.63
3 56 180.33666666666667
3 57 193.52
3 58 163.51333333333332
3 59 230.14666666666668
3 60 233.62666666666667
3 61 170.37333333333333
3 62 187.00333333333333
3 63 186.90333333333334
3 64 217.00333333333333
3 65 176.92666666666668
3 66 213.50666666666666
3 67 197.02666666666667
3 68 230.03333333333333
3 69 180.24
3 70 200.34333333333333
3 71 163.76333333333332
3 72 156.81666666666666
3 73 173.63333333333333
3 74 163.82333333333332
3 75 203.58333333333334
3 76 190.23666666666668
3 77 186.87333333333333
3 78 170.19
3 79 213.48
3 80 173.70333333333335
3 81 190.37333333333333
3 82 136.86666666666667
3 83 193.53666666666666
3 84 183.44
3 85 166.99666666666667
