qubits depth min_cut_value
10 1 0.0
10 2 0.0
10 3 0.0
10 4 1.5
10 5 0.0
10 6 1.5
10 7 1.5
10 8 0.5
10 9 1.0
10 10 1.5
10 11 2.0
10 12 2.0
10 13 2.5
10 14 2.0
10 15 1.0
10 16 2.5
10 17 1.5
10 18 2.5
10 19 2.0
10 20 1.5
10 21 1.5
10 22 1.5
10 23 1.5
10 24 2.5
10 25 2.0
10 26 3.0
10 27 2.0
10 28 2.0
10 29 2.5
10 30 3.5
10 31 3.0
10 32 1.5
10 33 2.0
10 34 2.0
10 35 3.0
10 36 2.5
10 37 3.0
10 38 4.0
10 39 4.0
10 40 3.0
10 41 5.0
10 42 3.5
10 43 3.0
10 44 3.0
10 45 4.5
10 46 6.0
10 47 4.0
10 48 5.5
10 49 3.5
10 50 3.0
10 51 5.0
10 52 5.0
10 53 5.0
10 54 4.5
10 55 4.5
10 56 5.5
10 57 4.0
10 58 6.0
10 59 3.0
10 60 5.5
10 61 4.0
10 62 5.0
10 63 4.0
10 64 6.5
10 65 4.0
10 66 7.0
10 67 9.0
10 68 4.5
10 69 4.5
10 70 5.5
10 71 9.0
10 72 9.5
10 73 6.5
10 74 8.5
10 75 6.0
10 76 7.5
10 77 5.0
10 78 6.0
10 79 8.0
10 80 4.5
10 81 8.5
10 82 6.5
10 83 9.0
10 84 8.5
10 85 7.0
10 86 7.0
10 87 7.5
10 88 9.0
10 89 9.0
10 90 5.5
10 91 9.0
10 92 10.0
10 93 11.0
10 94 7.5
10 95 13.0
10 96 8.5
10 97 9.0
10 98 9.5
10 99 8.5
10 100 10.0
10 101 8.5
10 102 9.0
10 103 12.5
10 104 8.5
10 105 9.0
10 106 9.0
10 107 9.5
10 108 9.0
10 109 7.5
10 110 11.0
10 111 9.0
10 112 9.0
10 113 9.0
10 114 9.5
10 115 9.0
10 116 11.0
10 117 9.0
10 118 11.0
10 119 11.0
10 120 9.0
10 121 11.0
10 122 9.0
10 123 9.0
10 124 10.0
10 125 12.0
10 126 10.0
10 127 10.5
10 128 10.0
10 129 15.5
10 130 10.5
10 131 11.0
10 132 10.0
10 133 9.0
10 134 9.5
10 135 11.5
10 136 11.0
10 137 11.0
10 138 10.5
10 139 10.0
10 140 10.0
10 141 10.0
10 142 9.0
10 143 9.0
10 144 10.0
10 145 23.5
10 146 12.5
10 147 11.0
10 148 14.5
10 149 9.0
10 150 11.0
10 151 10.0
10 152 9.0
10 153 10.0
10 154 10.0
10 155 10.0
10 156 11.0
10 157 11.0
10 158 11.0
10 159 10.5
10 160 9.0
10 161 10.0
10 162 11.5
10 163 10.0
10 164 13.0
10 165 10.0
10 166 9.0
10 167 10.5
10 168 16.0
10 169 9.0
10 170 12.0
10 171 9.5
10 172 9.0
10 173 9.0
10 174 11.0
10 175 10.0
10 176 12.0
10 177 9.0
10 178 13.0
10 179 11.0
10 180 11.0
10 181 13.0
10 182 11.0
10 183 9.0
10 184 10.0
10 185 11.0
10 186 15.0
10 187 12.0
10 188 9.0
10 189 9.0
10 190 14.0
10 191 9.0
10 192 14.0
10 193 12.0
10 194 9.0
10 195 11.0
10 196 13.0
10 197 13.0
10 198 10.0
10 199 9.0
10 200 9.0
10 201 10.0
10 202 10.0
10 203 10.5
10 204 9.0
10 205 11.0
10 206 11.5
10 207 13.0
10 208 9.0
10 209 10.0
10 210 9.0
10 211 10.0
10 212 11.0
10 213 10.5
10 214 12.0
10 215 12.0
10 216 10.0
10 217 11.0
10 218 9.0
10 219 9.0
10 220 9.0
10 221 17.0
10 222 11.0
10 223 11.0
10 224 12.0
10 225 10.0
10 226 10.0
10 227 10.0
10 228 10.0
10 229 9.0
10 230 9.0
10 231 9.0
10 232 13.0
10 233 14.0
10 234 9.0
10 235 9.0
10 236 505.5
10 237 12.0
10 238 12.0
10 239 10.0
10 240 13.0
10 241 9.0
10 242 9.0
10 243 12.0
10 244 14.0
10 245 11.0
10 246 9.0
10 247 9.0
10 248 10.0
10 249 10.0
10 250 18.5
10 251 12.0
10 252 9.5
10 253 10.0
10 254 509.0
10 255 9.0
10 256 9.0
10 257 10.0
10 258 11.0
10 259 9.0
10 260 11.0
10 261 23.0
10 262 10.0
10 263 11.0
10 264 11.0
10 265 9.0
10 266 9.0
10 267 9.0
10 268 9.0
10 269 15.0
10 270 13.0
10 271 9.0
10 272 18.0
10 273 11.0
10 274 13.0
10 275 9.0
10 276 11.0
10 277 9.0
10 278 9.0
10 279 9.0
10 280 10.0
10 281 9.0
10 282 506.5
10 283 23.0
10 284 9.5
10 285 13.0
10 286 10.5
10 287 15.0
10 288 14.0
10 289 12.0
10 290 9.0
10 291 9.0
10 292 9.0
10 293 9.0
10 294 9.0
10 295 10.0
10 296 9.0
10 297 10.0
10 298 9.0
10 299 10.0
10 300 9.0
