qubits depth min_cut_value
10 1 0.03333333333333333
10 2 0.16666666666666666
10 3 0.3
10 4 0.3
10 5 0.4
10 6 0.5
10 7 0.6333333333333333
10 8 0.7333333333333333
10 9 0.8
10 10 0.7666666666666667
10 11 1.1666666666666667
10 12 1.0666666666666667
10 13 1.3
10 14 1.4333333333333333
10 15 1.3333333333333333
10 16 1.7333333333333334
10 17 1.3666666666666667
10 18 1.5333333333333334
10 19 1.3666666666666667
10 20 1.5333333333333334
10 21 2.1333333333333333
10 22 1.9
10 23 2.1333333333333333
10 24 2.3333333333333335
10 25 1.9
10 26 2.2
10 27 2.1666666666666665
10 28 2.566666666666667
10 29 2.6666666666666665
10 30 2.533333333333333
10 31 2.7
10 32 3.1666666666666665
10 33 2.9
10 34 3.2666666666666666
10 35 3.2666666666666666
10 36 3.4
10 37 3.2333333333333334
10 38 3.2
10 39 3.566666666666667
10 40 3.7
10 41 4.233333333333333
10 42 3.566666666666667
10 43 4.3
10 44 4.2
10 45 4.166666666666667
10 46 3.9
10 47 4.4
10 48 4.366666666666666
10 49 4.366666666666666
10 50 5.3
10 51 5.033333333333333
10 52 5.133333333333334
10 53 5.4
10 54 5.166666666666667
10 55 5.066666666666666
10 56 5.3
10 57 5.733333333333333
10 58 5.333333333333333
10 59 5.566666666666666
10 60 5.7
10 61 5.833333333333333
10 62 5.933333333333334
10 63 5.7
10 64 5.9
10 65 6.166666666666667
10 66 6.166666666666667
10 67 6.333333333333333
10 68 6.733333333333333
10 69 6.033333333333333
10 70 6.7
10 71 6.3
10 72 6.6
10 73 6.0
10 74 5.933333333333334
10 75 6.8
10 76 7.266666666666667
10 77 7.233333333333333
10 78 6.6
10 79 6.8
10 80 6.8
10 81 6.966666666666667
10 82 8.0
10 83 7.4
10 84 7.133333333333334
10 85 6.966666666666667
10 86 7.766666666666667
10 87 7.2
10 88 7.4
10 89 7.5
10 90 7.366666666666666
10 91 6.866666666666666
10 92 7.866666666666666
10 93 7.266666666666667
10 94 7.633333333333334
10 95 7.633333333333334
10 96 7.666666666666667
10 97 8.266666666666667
10 98 8.133333333333333
10 99 7.4
10 100 8.466666666666667
