qubits depth min_cut_value entropy_value
10 1 0.0 0.37320360535023306
10 2 0.0 0.37320360535023306
10 3 0.0 0.37320360535023306
10 4 1.0 0.37320360535023306
10 5 1.0 0.37320360535023306
10 6 1.0 3.9504249447702624
10 7 1.0 0.37320360535023306
10 8 1.0 0.37320360535023306
10 9 0.0 1.1175232074294497
10 10 1.0 4.009614535556505
10 11 0.0 0.37320360535023306
10 12 0.0 0.8666780761161662
10 13 1.0 0.37320360535023306
10 14 1.0 3.1388842471754868
10 15 2.0 0.37320360535023306
10 16 2.0 2.861616772816576
10 17 3.0 0.7687205578729451
10 18 2.0 1.721900282082893
10 19 0.0 1.2105295693810814
10 20 0.0 0.8666780761161661
